arrival_1,arrival_2,arrival_3,arrival_4,peak_1,peak_2,peak_3,peak_4,peak_mag1,peak_mag2,peak_mag3,peak_mag4,coord_x,coord_z
1689976,1689941,1689986,1689980,1690451,1690217,1690278,1690370,0.012053397,0.013311855,0.026664855,0.012477283,-191.4768905,-1422.978088
1696508,1696396,1696414,1696405,1696635,1696689,1696775,1696448,0.005381173,0.005456575,0.019216701,0.012567218,301.654251,-1923.146973
1702606,1702581,1702574,1702586,1702802,1702680,1703131,1702910,0.005809217,0.006990958,0.026814809,0.013475508,984.627289,-2084.226441
1709194,1709202,1709175,1709148,1709386,1709227,1709664,1709280,0.006381822,0.007231656,0.019359163,0.094481569,1543.87085,-2507.513306
1715410,1715380,1715377,1715370,1715747,1715723,1715637,1715446,0.007962381,0.005302773,0.022634515,0.083901435,2237.977661,-2589.956177
1721864,1721674,1721685,1721634,1721977,1722643,1721903,1722584,0.005084303,0.004750052,0.019229088,0.088016306,2715.424561,-2967.8125
1727751,1727695,1727684,1727590,1727751,1727947,1727808,1727734,0.001824717,0.002943218,0.013478583,0.075724048,3254.104492,-2770.28125
1741136,1740640,1740626,1740600,1741755,1741634,1741395,1741104,0.00316766,0.002465863,0.009871435,0.165652041,2547.937134,-2426.66272
1747391,1747206,1747200,1747196,1748162,1747410,1747329,1747526,0.003798576,0.004589839,0.028174913,0.040589648,1971.289002,-2037.874695
1753692,1753475,1753452,1753469,1753830,1753922,1753940,1753586,0.005571124,0.005752519,0.019947601,0.015229264,1277.444825,-1970.449341
1759946,1759848,1759906,1759873,1760702,1760430,1760163,1760024,0.004746788,0.007847313,0.017014467,0.01227756,694.970398,-1586.928955
1766073,1766032,1766036,1766063,1766312,1766105,1766119,1766326,0.007768578,0.009004718,0.015070754,0.016034204,42.859925,-1599.685425
1772792,1772742,1772786,1772779,1773089,1773136,1772942,1772901,0.014199325,0.011605575,0.010143964,0.008588935,-523.9583895,-1301.195557
1778979,1778965,1778990,1779022,1779255,1779188,1779180,1779100,0.044450782,0.039359353,0.007095225,0.014787305,-1171.226319,-1328.848145
1785576,1785483,1785556,1785611,1785720,1785712,1785722,1785616,0.010106175,0.042329479,0.007335704,0.004234845,-1703.971863,-987.15271
1791775,1791687,1791770,1791852,1792694,1791836,1791987,1791931,0.007861998,0.067996407,0.002997155,0.004430042,-2330.254028,-912.575653
1798230,1798151,1798227,1798288,1798414,1798946,1798473,1798504,0.013749762,0.859829327,0.004287147,0.004357485,-2743.039795,-491.50087
1804604,1803986,1804613,1804672,1805117,1805563,1804856,1804905,0.017355426,0.233920739,0.006561488,0.008725681,-3229.634156,-207.3907165
42424,41513,41378,41592,42432,41620,42054,41592,0.002175119,0.042101242,0.000982744,0.001670758,-2913.401245,-369.2499085
59431,57419,57453,57382,60667,57447,62311,57384,0.001654771,0.009485265,0.002190521,0.001836567,-1613.349183,-903.7160035
69159,65349,69172,69183,69265,69289,69247,69287,0.004685681,0.007257877,0.006560986,0.007544604,-1083.420105,-1380.829285
83075,82998,82994,82993,83082,83190,83106,83160,0.003971028,0.005165181,0.013154631,0.010790668,174.8765485,-1915.700256
89610,89589,89568,89537,89900,89904,89815,89783,0.004258639,0.003339587,0.016311883,0.044682919,857.686188,-2016.417908
96528,96459,96471,96429,96639,96519,96635,96609,0.003706666,0.003821372,0.020983458,0.075081608,1403.188904,-2460.953126
102132,102064,102035,101983,103275,102239,102183,102728,0.003158029,0.003113634,0.005270603,0.027316355,2081.45752,-2561.153687
123628,123595,123329,123559,123821,123657,123670,124031,0.007342752,0.005858339,0.014487562,0.148992328,2715.622315,-2634.974121
